Sample_id,Field_ID,farms,Grid,pH [H2O],Classification ,Zr,Zr Error,Sr,Sr Error,Rb,Rb Error,Th,Th Error,Pb,Pb Error,As,As Error,Zn,Zn Error,Cu,Cu Error,Ni,Ni Error,Fe,Fe Error,Mn,Mn Error,Cr,Cr Error,V,V Error,Ti,Ti Error,Ca,Ca Error,K,K Error,S,S Error,Ba,Ba Error,Cs,Cs Error,Location_x,Location_y,,,,,,,,,,,,,
154,baworo 1a,baworo1,ksb66,6.169,Short_term,202.97,3.41,12.76,1.21,6.71,1.26,2.33,0.71,7.3,3.08,9.23,2.66,13.08,4.54,< LOD,11.85,< LOD,23.69,11218.12,121.26,307.48,36.44,< LOD,14.92,75,17.8,5084.31,67.27,2569.99,64.9,1549.16,75.52,134.04,85.9,36.47,20.67,2.24,1.36,664976,745896,,,,,,,,,,,,,
155,baworo 1b,baworo1,ksb66,5.894,Short_term,233.48,3.68,13.13,1.24,8.14,1.32,2.16,0.71,5.65,3.07,8.64,2.64,15.85,4.73,< LOD,12.21,33.14,16.41,12342.89,129.01,236.18,35.4,29.68,10.88,87.78,20.67,6517.47,79.06,2997.12,73,1814.75,83.92,217.73,97.71,50.41,20.61,< LOD,2.03,664981,745885,,,,,,,,,,,,,
156,baworo 1c,baworo1,ksb66,6.108,Short_term,357.95,4.65,28.14,1.63,14.34,1.59,4.2,0.85,8.92,3.41,21.14,3.24,26.94,5.43,24.88,9.09,34.33,17.54,21580.76,176.23,410.65,41.9,59.93,13.27,124.01,26.58,8457.87,101.69,3866.31,93.47,2321.74,104.85,176.11,116.76,43.64,20.88,2.31,1.38,664973,745875,,,,,,,,,,,,,
157,baworo 2a,baworo2,ksb66,5.677,Short_term,129.06,2.91,7.31,1.11,6.54,1.26,1.18,0.68,7.72,3.18,5.17,2.63,12.96,4.65,< LOD,12.39,36.68,16.59,10129.26,119.24,195,34.76,30.24,10,59.69,17.54,5304.33,67.38,2341.83,62.72,2563.67,88.97,179.07,87.48,121.18,21.14,7.06,1.38,664783,745894,,,,,,,,,,,,,
158,baworo 2b,baworo2,ksb66,6.52,Short_term,201.82,3.45,12.19,1.22,11.51,1.41,2.41,0.72,7.11,3.12,9.93,2.72,19.55,4.87,14,8.33,43.01,16.61,11603.98,125.06,266.15,36.04,< LOD,15.27,80.05,19.34,6116.96,74.17,3576.68,77.71,3295.91,101.3,< LOD,129.39,74.51,20.96,4.73,1.38,664770,745896,,,,,,,,,,,,,
159,baworo 2c,baworo2,ksb66,6.055,Short_term,264.35,3.87,18.8,1.37,16.76,1.54,2.65,0.74,11.36,3.3,11.91,2.88,20.99,4.93,< LOD,12.25,< LOD,24.34,12880.66,130.77,326.36,37.3,19.97,10.71,91.2,20.28,6129.7,76.98,3112.52,75.13,2979.77,100.26,159.9,95.08,< LOD,30.5,< LOD,2.01,664770,745880,,,,,,,,,,,,,
160,baworo 3a,baworo3,ksb66,6.338,Short_term,218.07,3.54,14.23,1.26,15.27,1.52,2.07,0.71,10.67,3.27,6.28,2.69,13.86,4.64,< LOD,12.19,< LOD,23.92,13854.03,135,156.28,33.02,32.32,10.92,80.35,19.81,5912.94,75.69,2849.78,73.72,3581.59,108.42,210.66,98.96,38.22,20.93,2.3,1.38,664939,745733,,,,,,,,,,,,,
161,baworo 3b,baworo3,ksb66,6.43,Short_term,343.24,4.4,21.62,1.45,20.21,1.68,3.3,0.78,12.45,3.42,9.35,2.89,21.83,4.96,< LOD,12.51,33.03,16.78,13983.12,137.56,289.57,36.95,19.06,10.8,98.27,21.04,6713.7,80.45,3299.26,77.98,3256.31,104.67,148.04,96.31,< LOD,30.57,< LOD,2.01,664925,745733,,,,,,,,,,,,,
162,baworo 3c,baworo3,ksb66,7.47,Short_term,246.7,3.81,16.85,1.34,17.93,1.63,2.4,0.74,6.95,3.18,8.45,2.71,19.39,4.94,< LOD,12.35,< LOD,24.69,15269.19,144.4,292.54,37.32,24.35,11.22,82.28,21.01,6108.09,79.94,3750.49,85.11,3669.43,113.01,< LOD,140.33,< LOD,31.28,< LOD,2.05,664931,745714,,,,,,,,,,,,,
163,boadi 1a,boadi1,ksb37,5.82,Long_term,164.92,3.25,18.92,1.41,31.75,1.98,2.18,0.76,10.82,3.42,5.81,2.79,30.37,5.41,< LOD,12.76,< LOD,25.57,27132.5,193.34,138.78,35.25,86.95,13.63,96.74,20.6,4072.46,74.27,1657.89,70.9,5016.39,142.09,< LOD,165.99,< LOD,32.17,< LOD,2.12,660971,738902,,,,,,,,,,,,,
164,boadi 1b,boadi1,ksb37,5.97,Long_term,145.15,3.24,18.03,1.46,24.17,1.9,< LOD,1.16,14.54,3.81,7.07,3.1,37.13,5.97,< LOD,13.99,42.48,19.39,46865.32,266.41,133.43,39.73,204.77,17.05,114.89,22.38,3177.95,76.44,1544.1,76.36,4373.49,147.86,< LOD,198.53,98.83,23.69,4.08,1.54,660973,738889,,,,,,,,,,,,,
165,boadi 1c,boadi1,ksb37,6.48,Long_term,148.59,3.26,20.19,1.5,28.37,1.98,1.8,0.81,12.61,3.72,5.14,2.98,39.41,6.06,23.7,9.58,< LOD,28.45,46859.52,265.31,132.15,39.26,197.56,16.87,95.76,22.45,3500.88,78.7,1818.87,80.98,4705.95,152.29,< LOD,194.2,40.98,23.09,< LOD,2.28,660984,738869,,,,,,,,,,,,,
166,boadi 2a,boadi2,ksb37,5.65,Long_term,202.78,3.49,15.99,1.32,27.42,1.85,2.14,0.74,11.99,3.39,7.77,2.83,22.32,5.06,< LOD,12.24,< LOD,24.57,17369.06,153.48,211,35.51,40.93,11.83,83.94,19.79,4766.24,73.42,2042.09,70.54,5424.18,136.18,237.9,107.92,61.29,21.22,< LOD,2.08,661083,738608,,,,,,,,,,,,,
167,boadi 2b,boadi2,ksb37,6.02,Long_term,194.95,3.44,19.45,1.4,24.19,1.78,1.88,0.72,4.87,3.08,14.49,2.83,23.83,5.14,29.33,8.94,< LOD,24.93,20177.4,165.42,176.25,34.72,64.12,12.16,68.1,19.4,4501.16,72.15,2787.13,79.66,5535.12,138.07,< LOD,150.45,< LOD,31.4,< LOD,2.07,661074,738606,,,,,,,,,,,,,
168,boadi 2c,boadi2,ksb37,6.49,Long_term,191.88,3.4,23.62,1.48,28.17,1.86,1.87,0.73,8.25,3.23,14.51,2.91,27.95,5.21,< LOD,12.32,< LOD,25.03,21409.92,169.1,227.05,35.96,54.63,12.53,85.03,20.2,4500.84,74.4,4297.6,97.45,4973.27,136.66,< LOD,161.94,< LOD,30.93,< LOD,2.04,661076,738616,,,,,,,,,,,,,
169,boadi 3a,boadi3,ksb37,7.82,Long_term,202.23,3.45,27.73,1.56,25.17,1.8,1.18,0.67,< LOD,4.59,11.85,2.71,89.03,8.41,< LOD,12.42,< LOD,24.37,9952.37,115.21,46.09,28.78,< LOD,13.23,46.17,12.86,2478.57,46.36,5799.56,89.18,3039.56,90.91,< LOD,112.66,< LOD,29.02,< LOD,1.95,661585,738441,,,,,,,,,,,,,
170,boadi 3b,boadi3,ksb37,5.56,Long_term,235.18,3.59,8.72,1.12,13.19,1.46,1.13,0.64,< LOD,4.37,7.45,2.46,19.41,6.74,< LOD,11.98,< LOD,24.13,5519.06,85.27,< LOD,39.11,< LOD,11.84,48.06,11.97,2706.72,43.54,606.75,31.79,1577.27,63.57,< LOD,90.11,< LOD,28.93,< LOD,1.94,661591,738464,,,,,,,,,,,,,
171,boadi 3c,boadi3,ksb37,7.08,Long_term,182.5,3.23,8.57,1.12,13.56,1.46,1.52,0.66,< LOD,4.21,5.06,2.33,23.7,6.46,< LOD,11.9,< LOD,23.98,7229.99,97.26,< LOD,41.11,< LOD,12.68,51.15,12.15,2329.57,43.28,1495.76,47.02,1707.67,69.73,< LOD,101.79,< LOD,29.5,< LOD,1.96,661565,738471,,,,,,,,,,,,,
172,bokro 1a,bokro1,ksb15,7.12,Long_term,232.14,3.72,26.21,1.55,17.49,1.61,2.82,0.76,6.74,3.22,15.73,2.94,45.55,6.49,17.61,8.79,< LOD,25.53,19904.96,164.08,186.71,34.76,38.52,11.54,94.59,19.9,5002.71,73.95,4568.72,92.56,1647.38,85.66,186.29,103.02,< LOD,30.54,< LOD,2.03,655643,734400,,,,,,,,,,,,,
173,bokro 1b,bokro1,ksb15,5.63,Long_term,236.78,3.76,14.38,1.32,12.06,1.49,2.5,0.75,6.8,3.4,12.67,2.94,79.91,8.87,< LOD,13.49,< LOD,26.13,16294.23,149.72,204.2,35.25,40.23,10.94,90,18.56,4640.56,68.66,1660.72,57.56,1578.34,79.74,< LOD,130.34,< LOD,31.1,< LOD,2.07,655641,734388,,,,,,,,,,,,,
174,bokro 1c,bokro1,ksb15,5.94,Long_term,212.18,3.56,28.79,1.6,15.68,1.54,2.06,0.73,7.07,3.29,7.47,2.72,41.37,7.04,< LOD,13.1,< LOD,25.41,18290.87,156.82,181.98,34.55,51.62,11.56,92.41,18.91,4304.75,69.03,3643.45,82.34,1267.88,77.68,< LOD,138.35,< LOD,30.41,< LOD,2.03,655628,734387,,,,,,,,,,,,,
175,bokro 2a,bokro2,ksb15,8.11,Long_term,188.67,3.43,62.29,2.15,21.26,1.73,1.8,0.72,8.67,3.43,7.98,2.82,75.24,8.8,< LOD,13.34,< LOD,26.23,12375.9,129.87,123.8,32.14,19.68,9.66,58.81,14.66,2929.13,53.28,20062.39,170.08,3743.35,107.36,204.06,100.22,< LOD,30.98,< LOD,2.05,655638,734347,,,,,,,,,,,,,
176,bokro 2b,bokro2,ksb15,7.52,Long_term,229.36,3.7,28.08,1.59,17.64,1.6,2.77,0.76,7.6,3.29,9.74,2.81,48.78,7.12,< LOD,12.74,< LOD,25.59,15982.43,147.45,108.9,32.45,41.6,11.01,76.92,18.08,4276.79,66.91,4525.44,89.79,2574.77,96.44,189.55,97.69,< LOD,30.9,< LOD,2.04,655635,734342,,,,,,,,,,,,,
177,bokro 2c,bokro2,ksb15,7.86,Long_term,243.82,3.84,27.77,1.6,19.11,1.69,3.15,0.79,10.72,3.44,5.32,2.78,56.74,6.77,21.94,8.99,26.73,17.38,20968.99,170.27,185.33,35.62,40.19,12.1,109,21.16,5095.21,77.9,7190.62,118.42,2269.06,99.71,< LOD,162.48,< LOD,32,< LOD,2.1,655639,734342,,,,,,,,,,,,,
178,bokro 3a,bokro3,ksb15,6.88,Long_term,244.22,3.78,13.8,1.28,10.55,1.4,3.15,0.76,< LOD,4.64,13.44,2.78,24.68,5.96,< LOD,12.81,47.85,17.48,16214.75,147.95,110.75,32.52,30.69,10.89,93.94,18.66,4797.4,69.3,1746.66,58.77,1470.02,78.17,< LOD,133.79,< LOD,31.3,< LOD,2.06,655521,734546,,,,,,,,,,,,,
179,bokro 3b,bokro3,ksb15,7.89,Long_term,213.5,3.63,22.41,1.49,16.49,1.6,2.48,0.76,9.03,3.39,6.8,2.79,42.23,6.49,13.91,8.86,< LOD,26.25,20399.84,168.4,78.01,32.88,45.36,11.53,87.25,19.05,4416.31,70.15,3161.12,79.7,2819.13,102.71,< LOD,143.72,< LOD,31.84,< LOD,2.1,655524,734542,,,,,,,,,,,,,
180,bokro 3c,bokro3,ksb15,7.02,Long_term,249.16,3.91,18.43,1.41,14.65,1.55,2.8,0.79,12.96,3.57,8.12,2.96,41.05,6.23,< LOD,12.96,39.71,17.81,22240.89,176.89,151.64,35.35,56.22,12.29,99.68,21.05,5242.2,78.3,2474.27,74.44,2299.08,98.88,< LOD,152.88,74.42,21.98,3.14,1.44,655523,734543,,,,,,,,,,,,,
181,bosore 1a,bosore1,ksb65,5.42,Short_term,261.62,3.9,23.1,1.49,56.8,2.45,2.83,0.78,9.72,3.41,7.45,2.8,24.3,6.49,< LOD,12.97,< LOD,25.85,15373.43,143.93,86.02,31.63,< LOD,15.72,89.53,17.86,4100.23,64.95,1134.2,55.71,6634.41,138.72,< LOD,128.67,< LOD,31.83,< LOD,2.09,660513,746793,,,,,,,,,,,,,
182,bosore 1b,bosore1,ksb65,6.7,Short_term,175.41,3.22,15.64,1.3,33.14,1.95,1.38,0.68,< LOD,4.47,5.51,2.46,26.93,6.81,< LOD,12.28,< LOD,24.18,7404.64,99.63,< LOD,41.4,< LOD,12.29,54.99,11.87,2087.08,41.37,1204.92,46.52,5339.07,108.12,< LOD,100.02,< LOD,29.66,< LOD,1.99,660508,746792,,,,,,,,,,,,,
183,bosore 1c,bosore1,ksb65,8,Short_term,196.74,3.36,21.44,1.42,32,1.91,1.53,0.68,5.07,3.07,4.51,2.49,25.07,6.48,< LOD,12.37,< LOD,24.01,6866.68,95.39,< LOD,41.67,< LOD,12.52,45.42,12.65,2708.18,46.07,5133.18,82.15,5695.14,112.71,< LOD,107.89,< LOD,29.84,< LOD,1.98,660503,746787,,,,,,,,,,,,,
184,bosore 2a,bosore2,ksb65,6.02,Short_term,188.06,3.33,13.06,1.25,17.29,1.6,2.17,0.71,< LOD,4.61,7.5,2.58,26.08,6.97,< LOD,12.21,< LOD,24.9,9341.57,111.92,64.04,29.57,< LOD,13.2,47.95,12.71,2369.05,45.3,975.06,42.17,2377.71,80.98,< LOD,103.77,< LOD,29.9,< LOD,2,660371,746955,,,,,,,,,,,,,
185,bosore 2b,bosore2,ksb65,6.93,Short_term,206.07,3.47,33.77,1.67,41.73,2.13,1.67,0.7,6.25,3.23,< LOD,3.84,47.91,7.8,< LOD,12.83,< LOD,24.77,8579.02,106.83,< LOD,40.45,< LOD,13.1,54.28,12.63,2258.69,44.4,1890.22,58.07,7286.13,128.84,< LOD,115.36,< LOD,29.43,< LOD,1.95,660374,746948,,,,,,,,,,,,,
186,bosore 2c,bosore2,ksb65,5.68,Short_term,196.2,3.41,14,1.27,19.67,1.64,2.89,0.74,< LOD,4.66,5.99,2.56,19.2,6.58,< LOD,12.51,< LOD,24.45,12214.55,127.79,54.62,29.67,< LOD,14.19,57.1,13.96,2687.69,50.01,1020.15,44.91,2276.22,83.3,< LOD,115.37,< LOD,29.91,< LOD,2.01,660377,746933,,,,,,,,,,,,,
187,bosore 3a,bosore3,ksb65,6.82,Short_term,173.96,3.19,21.21,1.42,24.53,1.72,1.84,0.68,< LOD,4.5,11.73,2.64,20.25,7,< LOD,12.75,< LOD,24.61,6686.5,94.18,58.21,28.67,< LOD,12.93,39.26,11.3,1625.76,38.75,2186.29,57.36,3921.8,97.31,< LOD,100.25,< LOD,30.1,< LOD,1.99,660291,747100,,,,,,,,,,,,,
188,bosore 3b,bosore3,ksb65,7.71,Short_term,323.39,4.22,38.22,1.73,36.22,2.01,2.91,0.75,7.63,3.21,7,2.66,64.28,7.01,< LOD,12.27,< LOD,24.19,12872.93,129.76,93.45,30.46,< LOD,15.28,65.33,16.69,3628.44,60.93,6169.43,101.69,5759.24,129.6,< LOD,135.05,< LOD,30.02,< LOD,1.98,660281,747091,,,,,,,,,,,,,
189,bosore 3c,bosore3,ksb65,6.41,Short_term,213.85,3.56,38.55,1.77,59.41,2.47,2.4,0.75,8.01,3.4,7.19,2.77,19.42,8.01,< LOD,13.01,< LOD,25.4,8300.16,106.21,59.95,29.17,< LOD,13.11,41.49,12.82,2219.44,45.28,1788.23,59.36,9832.86,147.9,< LOD,111.61,< LOD,28.69,< LOD,1.91,660293,747084,,,,,,,,,,,,,
190,bronikrom 1a,bronikrom1,ksb52,6.4,Short_term,210.34,3.49,23.32,1.46,26.15,1.78,1.34,0.68,< LOD,4.66,14.02,2.79,20.06,6.63,< LOD,12.4,< LOD,24.6,10064.78,115.47,96.7,30.11,< LOD,13.53,57.45,13.35,2557.62,47.49,2364.26,60.4,3019.84,90.4,< LOD,113.25,< LOD,28.08,< LOD,1.9,668102,741891,,,,,,,,,,,,,
191,bronikrom 1b,bronikrom1,ksb52,6.16,Short_term,149.87,2.99,13.27,1.25,16.16,1.54,1.08,0.64,< LOD,4.36,12.02,2.58,14.9,7.73,< LOD,12.71,< LOD,24.37,6858.72,95.32,< LOD,41.86,< LOD,12.69,32.57,10.93,1659.98,38.08,1067.83,41.56,1965.41,73.29,< LOD,96.81,< LOD,28.17,< LOD,1.91,668103,741898,,,,,,,,,,,,,
192,bronikrom 1c,bronikrom1,ksb52,5.41,Short_term,194.21,3.36,13.93,1.26,19.12,1.63,< LOD,0.98,5.26,3.12,12.26,2.76,13.79,6.38,< LOD,12.37,< LOD,23.81,8382.83,105.84,142.72,31.56,< LOD,13.2,45.01,12.47,2225.99,44.17,808.13,39.41,2371.15,80.64,< LOD,102.23,< LOD,29.69,< LOD,1.98,668107,741903,,,,,,,,,,,,,
193,bronikrom 2a,bronikrom2,ksb52,6.89,Short_term,163.02,3.11,18.41,1.35,17.14,1.57,1.03,0.65,< LOD,4.56,12.02,2.69,11.01,6.58,< LOD,12.53,< LOD,24.19,7903.39,102.12,97.52,29.72,< LOD,12.59,37.58,11.67,2066.57,41.37,2120.84,53.88,2150.22,74.96,< LOD,103.57,< LOD,29.51,< LOD,1.98,668125,741866,,,,,,,,,,,,,
194,bronikrom 2b,bronikrom2,ksb52,6.17,Short_term,201.84,3.43,15.03,1.29,21.21,1.69,1.27,0.67,< LOD,4.63,13.08,2.76,15.19,6.33,< LOD,12.45,< LOD,24.64,10244.32,116.74,117.06,31.05,14.33,9.1,57.38,13.18,2527.55,46.91,1306.95,47.63,2772.97,86.72,< LOD,111,< LOD,29.75,< LOD,1.99,668115,741862,,,,,,,,,,,,,
195,bronikrom 2c,bronikrom2,ksb52,6.35,Short_term,239.12,3.73,24.22,1.5,23.64,1.76,1.96,0.71,6.2,3.18,18.51,2.98,17.84,6.03,< LOD,12.55,< LOD,24.4,11675.01,125.42,157.8,32.65,< LOD,14.27,62.91,14.73,3195.58,53.65,2794.95,67.28,3286.44,96.84,< LOD,117.61,< LOD,29.83,< LOD,1.99,668118,741870,,,,,,,,,,,,,
196,bronikrom 3a,bronikrom3,ksb52,6.9,Short_term,201.46,3.43,21.21,1.43,23.95,1.74,2.02,0.71,< LOD,4.6,18.47,2.9,16.89,6.47,< LOD,12.56,< LOD,24.63,10508.71,118.25,165.87,32.25,< LOD,13.58,56.88,13.36,2491.47,47.38,2435.26,61.49,3112.81,91.82,< LOD,114,< LOD,28.71,< LOD,1.93,668199,741846,,,,,,,,,,,,,
197,bronikrom 3b,bronikrom3,ksb52,6.25,Short_term,156.34,3.05,10.97,1.19,15.6,1.53,1.44,0.66,< LOD,4.52,9.87,2.6,13.78,6.97,< LOD,12.54,< LOD,24.1,6819.94,95.34,71.3,29.26,< LOD,12.72,39.88,11.33,1865.02,39.75,1004.49,40.91,1995,74.07,< LOD,100.58,< LOD,29.4,< LOD,1.97,668215,741849,,,,,,,,,,,,,
198,bronikrom 3c,bronikrom3,ksb52,6.08,Short_term,182.4,3.28,16.9,1.33,18.06,1.6,1.91,0.69,< LOD,4.51,15.79,2.78,17.28,6.46,< LOD,12.24,< LOD,24.59,9145.4,110.47,85.82,29.83,< LOD,12.74,50.53,12.14,2335.1,43.26,1517.28,47.88,2280.63,77.46,< LOD,105.42,< LOD,28.99,< LOD,1.95,668232,741842,,,,,,,,,,,,,
199,buokrom 1a,buokrom1,ksb60,7.94,Long_term,256.36,3.91,31.87,1.67,24.56,1.8,2.01,0.74,8,3.32,8.92,2.81,99.31,8.2,< LOD,12.87,< LOD,25.89,20435.37,167.15,85.56,32.26,58.79,11.68,85.44,18.93,3972.2,68.58,4379.78,93.19,4437.91,123.86,< LOD,137.73,< LOD,30.13,< LOD,2.01,655715,744547,,,,,,,,,,,,,
200,buokrom 1b,buokrom1,ksb60,8.16,Long_term,295.8,4.18,34.13,1.72,19.74,1.69,2.31,0.75,8.74,3.37,5.38,2.73,226.5,10.67,18.75,9.04,< LOD,25.79,18772.87,161.09,69.62,31.74,51.04,11.3,82.15,18.48,4136.41,67.79,10538.52,135.44,3664.86,113.68,< LOD,149.55,< LOD,30.04,< LOD,2,655701,744534,,,,,,,,,,,,,
201,buokrom 1c,buokrom1,ksb60,7.386,Long_term,297.08,4.21,30.25,1.65,10.51,1.44,1.52,0.73,12.69,3.59,9.17,2.99,235.02,11.06,18.87,9.24,< LOD,26.32,21070.23,171.51,182.31,35.08,52.91,11.43,83.46,18.16,4009.66,66.45,5827.59,102.18,1653.93,84.75,< LOD,144.02,< LOD,28.44,< LOD,1.93,655678,744544,,,,,,,,,,,,,
202,buokrom 2a,buokrom2,ksb60,7.872,Long_term,331.34,4.41,24.79,1.54,12.11,1.49,2.44,0.79,36.94,4.48,9.05,3.59,72.46,7.55,< LOD,13.42,< LOD,26.52,20672.26,169.37,160,34.56,60.77,11.53,83.27,19.09,4578.71,70.76,6428.7,108.64,4010.03,117.79,< LOD,150.99,< LOD,30.13,< LOD,2.03,655586,744637,,,,,,,,,,,,,
203,buokrom 2b,buokrom2,ksb60,8.424,Long_term,317.7,4.31,26.21,1.57,12.24,1.48,2.75,0.76,5.85,3.22,8.9,2.75,59.84,7.13,< LOD,12.92,< LOD,25.86,19974.28,165.91,186.11,34.95,55.88,11.48,85.14,19,4510.61,70.35,6960.03,112.14,2734.61,101.78,< LOD,143.54,< LOD,29.65,< LOD,2,655585,744643,,,,,,,,,,,,,
204,buokrom 2c,buokrom2,ksb60,7.62,Long_term,317.09,4.24,21.4,1.44,14.12,1.51,1.87,0.72,8.46,3.31,7.77,2.76,40.63,6.49,< LOD,12.47,< LOD,24.92,15933.84,146.47,119.14,32.4,52.14,11.07,63.55,17.69,3969.18,65.28,5246.76,95.47,2391.43,93.64,< LOD,141.5,< LOD,30.54,< LOD,2.03,655583,744645,,,,,,,,,,,,,
205,buokrom 3a,buokrom3,ksb60,6.362,Long_term,409.14,5.05,27.24,1.66,20.74,1.8,4.27,0.9,14.29,3.81,13.46,3.28,49.31,6.89,24.43,9.73,< LOD,28.3,40197.5,244.61,535.4,47.41,163.99,15.94,139.16,26.17,6181.98,96.36,2999.67,91.62,2058.47,109.04,< LOD,188.83,< LOD,31.69,< LOD,2.12,655211,744695,,,,,,,,,,,,,
206,buokrom 3b,buokrom3,ksb60,7.361,Long_term,313.62,4.24,22.38,1.47,14.02,1.52,1.91,0.73,7.87,3.29,6.09,2.7,32.31,6.58,< LOD,12.76,< LOD,25.38,18962.99,160.39,278.06,36.66,89.32,11.84,92.82,18.11,3907.14,65.48,3767.79,82.75,1416.86,79.49,< LOD,140.76,< LOD,29.29,< LOD,1.98,655215,744704,,,,,,,,,,,,,
207,buokrom 3c,buokrom3,ksb60,6.501,Long_term,391.24,4.87,26.75,1.62,23.65,1.86,3.27,0.85,20.59,4,12.6,3.37,57.59,7.09,16.9,9.26,< LOD,27.31,33381.11,219.77,565.49,46.55,111.68,15.04,135.74,26.25,6409.35,97.06,3568.35,97.51,2470.45,115.17,< LOD,189.91,< LOD,31.66,< LOD,2.1,655233,744706,,,,,,,,,,,,,
208,buokrom 4a,buokrom4,ksb56,7.374,Long_term,270.22,3.96,29.74,1.62,15.54,1.54,< LOD,1.01,16.78,3.68,5.82,2.95,166.23,9.79,< LOD,13.25,< LOD,25.37,15181.33,143.4,61.42,30.55,58.08,10.31,64.73,14.23,2418.53,49.84,6503.85,99.39,2328.04,87.36,148.69,87.73,< LOD,29.37,< LOD,1.97,655459,743444,,,,,,,,,,,,,
209,buokrom 4b,buokrom4,ksb56,7.454,Long_term,281.51,4.05,21.41,1.46,14.13,1.53,1.47,0.71,7.39,3.35,5.49,2.71,97.15,8.69,< LOD,13.35,< LOD,25.84,15863,147.39,105.29,32.2,84.95,10.71,77.51,15.3,3022.48,54.46,3404.78,73.98,2059.2,82.76,< LOD,120.9,< LOD,30.69,< LOD,2.06,655477,743435,,,,,,,,,,,,,
210,buokrom 4c,buokrom4,ksb56,7.455,Long_term,344.87,4.38,21.35,1.44,12.87,1.47,1.4,0.69,4.93,3.14,5.32,2.57,112.43,8.57,13.89,8.73,< LOD,24.68,11725.04,125.63,50.34,29.64,55.42,9.74,65.34,13.99,2973.38,50.58,3876.88,74.68,2167.8,80.42,< LOD,113.53,< LOD,29.6,< LOD,1.99,655468,743427,,,,,,,,,,,,,
211,buokrom 5a,buokrom5,ksb56,7.093,Long_term,227.73,3.82,89.35,2.55,16.96,1.63,< LOD,1.09,33.26,4.39,5.63,3.44,316.6,12.54,34.27,9.7,< LOD,26.49,23800.97,182.76,295.96,38.61,69.07,12.11,64.31,17.43,2936.72,62.12,19489.37,188.42,2933.53,111.18,246.28,119.22,< LOD,30.29,< LOD,2.02,655550,744020,,,,,,,,,,,,,
212,buokrom 5b,buokrom5,ksb56,6.696,Long_term,247.38,3.89,36.44,1.77,16.96,1.64,1.76,0.77,29.87,4.25,< LOD,4.99,278.47,11.9,22.47,9.35,< LOD,26.32,24220.11,183.58,377.29,40.25,138.18,13.12,73.96,17.71,3003.7,62.6,8017.28,123.48,2721.17,105.56,< LOD,153.26,< LOD,29.57,< LOD,1.99,655557,744034,,,,,,,,,,,,,
213,buokrom 5c,buokrom5,ksb56,7.082,Long_term,156.84,3.16,21.98,1.47,11.82,1.46,< LOD,1,4.82,3.2,4.41,2.58,98.04,8.68,< LOD,13.04,< LOD,25.83,18272.74,158.05,< LOD,45.4,127.68,11.49,67.17,13.27,1647.37,43.97,4337.15,84.17,2082.03,85.09,139.76,87.83,< LOD,29.34,< LOD,1.98,655560,744044,,,,,,,,,,,,,
214,buokrom 6a,buokrom6,ksb56,6.415,Long_term,282.7,4.02,11.93,1.23,14.38,1.51,1.08,0.68,5.14,3.18,8.73,2.7,69.69,7.82,< LOD,13.03,< LOD,25.6,15105.52,142.92,120.16,32.04,48.73,10.44,78.16,15.46,3052.67,55.16,1724.03,55.86,1409.16,73.69,< LOD,114.27,< LOD,28.78,< LOD,1.95,655572,743998,,,,,,,,,,,,,
215,buokrom 6b1 - Top sample ,buokrom6,ksb56,7.301,Long_term,295.02,4.33,61.72,2.22,25.83,1.92,2.58,0.84,29,4.33,7.22,3.45,187.93,10.11,23.64,9.57,< LOD,27.16,36062.88,228.58,179.18,37.98,162.41,15.07,110.66,22.48,4622.44,81.48,12136.64,165.22,4144.74,137.21,204.26,130.1,< LOD,30.22,< LOD,2.03,655601,744003,,,,,,,,,,,,,
216,buokrom 6b2,buokrom6,ksb56,7.145,Long_term,305.41,4.37,63.37,2.23,26.97,1.93,2.94,0.84,26.26,4.2,8.08,3.38,195.26,10.15,24.32,9.45,< LOD,27.28,32908.58,217.2,200.6,37.74,117.84,14.74,116.65,23.62,4883.5,85.54,12255.38,168.25,4072.79,138.32,< LOD,196.69,< LOD,30.91,< LOD,2.05,655601,744003,,,,,,,,,,,,,
217,buokrom 6c,buokrom6,ksb56,7.5,Long_term,286.68,4.25,39.1,1.86,22.42,1.8,2.08,0.8,19.41,3.95,6.86,3.18,134.75,9.11,< LOD,13.95,< LOD,27.75,32245.78,216.15,172.53,37.04,141.03,14.09,114.87,20.12,3653.13,70.82,7071.71,124.05,3852.8,127.08,< LOD,166.75,< LOD,30.7,< LOD,2.06,655596,744014,,,,,,,,,,,,,
218,domeabra 1a,domeabra1,ksb23,5.934,Short_term,319.47,4.41,28.92,1.65,20.92,1.74,2.12,0.77,5.39,3.31,18.51,3.09,21.76,6.17,< LOD,13.68,< LOD,26.84,28348.93,201.21,585.88,46,73.66,13.21,121.96,25.29,6874.1,94.5,1457.72,65.41,3493.49,121.46,< LOD,165.03,< LOD,31.21,< LOD,2.08,668770,735448,,,,,,,,,,,,,
219,domeabra 1b,domeabra1,ksb23,5.804,Short_term,313.05,4.34,26.6,1.59,22.2,1.77,1.73,0.75,7.94,3.38,15.01,3.03,26.8,6.22,22.56,9.31,< LOD,27.34,28141.44,199.13,504.23,44.14,74.35,13.53,135.37,26.35,7270.25,98.24,1447.13,66.77,4030.11,129.89,< LOD,170.35,< LOD,32.11,< LOD,2.11,668785,735444,,,,,,,,,,,,,
